filename	"Cue_Onset	Stim_Onset	Object_Cond	Validity_Cond	Obj_Accuracy	Obj_Acc_RT	Subseq_Recog	Subseq_Recog_RT	Subseq_Source_Mem_Acc	Subseq_Source_Mem_Acc_RT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"74.4181	76.4181	GRE	V	NR	NR	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"78.4556	82.4556	OBJ	V	1	0.71421	HC-HIT	0.93187	0	0.70879"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"84.4958	86.4958	OBJ	V	1	0.78054	LC-HIT	 1.9485	1	0.95159"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"88.5329	90.5329	OBJ	V	1	0.67092	LC-HIT	0.90647	0	0.46798"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"92.5706	96.5706	OBJ	NV	1	 1.3674	HC-MISS	 1.4416	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"98.6099	104.6099	OBJ	V	1	 1.7666	LC-MISS	 2.1463	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"106.6514	110.6514	OBJ	V	1	0.73345	LC-HIT	 1.4074	1	0.34623"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"112.691	114.691	OBJ	V	1	0.59368	LC-MISS	 3.2583	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"116.7291	122.7291	GRE	V	1	0.69486	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"126.7705	132.7705	OBJ	V	1	0.60296	HC-MISS	 1.7377	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"134.815	140.815	GRE	V	1	 1.3132	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"142.8559	144.8559	OBJ	V	1	0.78791	LC-MISS	 1.1521	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"146.8933	148.8933	GRE	NV	NR	NR	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"150.9305	156.9305	OBJ	V	1	 0.8602	LC-HIT	 1.2756	0	0.37156"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"160.9732	166.9732	OBJ	V	NR	NR	LC-MISS	0.90495	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"169.0165	171.0165	OBJ	NV	1	0.73146	LC-HIT	 1.6086	0	1.1798"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"175.0542	181.0542	GRE	V	1	0.63889	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"183.0986	189.0986	OBJ	V	1	0.64484	LC-MISS	 2.8064	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"191.14	197.14	OBJ	V	1	0.78726	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"199.1812	201.1812	OBJ	V	1	  1.157	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"203.2191	207.2191	OBJ	V	NR	NR	LC-HIT	 2.4582	0	0.61264"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"209.2585	213.2585	OBJ	V	1	0.62359	HC-HIT	  1.236	0	0.54287"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"219.2986	225.2986	OBJ	NV	NR	NR	LC-HIT	 1.5978	0	0.48171"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"227.344	233.344	GRE	V	1	0.73451	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"235.3867	237.3867	OBJ	V	1	0.72938	HC-MISS	 2.6305	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"239.4239	243.4239	OBJ	V	1	0.63493	LC-HIT	 2.8844	1	0.29726"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"247.4634	249.4634	OBJ	V	1	  1.386	HC-HIT	  1.785	1	0.91603"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"253.5035	255.5035	GRE	V	1	0.62753	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"257.5424	261.5424	OBJ	V	1	 1.5712	HC-HIT	 2.2882	1	0.54105"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"263.5816	267.5816	OBJ	V	1	0.74754	HC-MISS	  1.542	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"269.6224	273.6224	GRE	V	1	   1.38	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"275.6618	281.6618	OBJ	NV	1	0.54561	LC-HIT	 2.5142	0	0.29921"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"285.7042	287.7042	GRE	NV	1	0.72952	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"289.7429	291.7429	GRE	V	NR	NR	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"293.78	295.78	OBJ	V	1	0.66252	LC-MISS	 3.0033	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"297.8183	299.8183	OBJ	V	1	0.55381	LC-MISS	 1.1585	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"303.8557	307.8557	OBJ	V	1	 1.1527	LC-MISS	 1.0379	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"309.8967	315.8967	OBJ	V	1	0.68658	LC-MISS	 1.5396	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"317.9387	319.9387	OBJ	NV	1	0.76866	LC-HIT	 2.8863	1	0.34652"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"325.9767	329.9767	OBJ	V	1	0.60585	HC-HIT	 1.2191	0	0.71866"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"332.0202	336.0202	OBJ	V	1	 1.1567	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"338.0604	342.0604	GRE	V	1	 0.6863	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"344.0995	348.0995	OBJ	NV	1	0.86928	LC-MISS	 3.2676	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"350.1393	352.1393	OBJ	V	NR	NR	HC-MISS	 1.1573	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"354.1761	358.1761	OBJ	V	1	0.71315	HC-HIT	 1.3337	1	1.42"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-10_bold.nii.gz	"362.2156	366.2156	GRE	V	NR	NR	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"4.0008	10.0008	GRE	V	1	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"12.045	14.045	OBJ	V	1	0.89582	LC-HIT	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"16.0823	20.0823	OBJ	V	1	0.70462	HC-HIT	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"22.1216	28.1216	GRE	V	1	0.75099	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"30.1633	34.1633	OBJ	NV	1	0.83109	HC-MISS	0.79541	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"36.2029	42.2029	OBJ	V	1	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"46.2454	48.2454	OBJ	V	1	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"50.2843	54.2843	OBJ	V	1	0.85398	NR	NR	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"56.3246	58.3246	OBJ	NV	1	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"60.362	66.362	OBJ	V	1	0.92588	LC-MISS	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"68.404	70.404	GRE	V	1	0.83338	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"72.4413	76.4413	OBJ	V	1	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"78.481	84.481	OBJ	V	1	0.72852	LC-MISS	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"86.5221	90.5221	OBJ	V	1	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"94.5618	98.5618	GRE	V	1	0.96575	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"100.6039	102.6039	OBJ	NV	1	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"106.6413	110.6413	OBJ	V	1	0.88772	LC-HIT	0.99391	1	0.56735"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"114.6834	118.6834	OBJ	V	1	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"120.7253	122.7253	OBJ	V	1	0.63974	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"124.7625	126.7625	OBJ	V	1	0.60987	LC-MISS	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"128.7995	134.7995	OBJ	V	1	0.65681	LC-HIT	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"136.8413	140.8413	GRE	V	1	0.68133	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"142.8814	144.8814	OBJ	V	1	0.58796	HC-MISS	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"146.9185	148.9185	OBJ	V	1	0.73314	LC-MISS	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"152.9563	154.9563	OBJ	V	1	0.91809	HC-HIT	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"156.9952	160.9952	OBJ	NV	1	0.72705	LC-HIT	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"165.0349	169.0349	OBJ	V	1	0.66138	LC-HIT	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"171.0767	177.0767	OBJ	V	1	0.67468	LC-HIT	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"179.1183	185.1183	GRE	V	1	0.76877	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"187.1604	189.1604	GRE	V	1	0.70828	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"191.1985	197.1985	GRE	V	1	0.99367	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"201.2394	203.2394	OBJ	NV	1	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"209.28	213.28	OBJ	V	1	0.75058	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"215.3233	221.3233	OBJ	V	1	0.73318	LC-HIT	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"223.3652	229.3652	OBJ	V	1	0.90748	LC-HIT	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"233.407	235.407	OBJ	V	1	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"237.4459	241.4459	GRE	V	1	0.74794	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"243.4864	249.4864	GRE	V	1	0.97748	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"251.5281	257.5281	OBJ	NV	1	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"261.5694	267.5694	OBJ	V	1	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"269.6134	273.6134	OBJ	V	1	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"279.6521	281.6521	GRE	V	1	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"283.6953	287.6953	OBJ	NV	1	0.77908	LC-MISS	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"289.735	295.735	OBJ	V	1	0.74478	LC-HIT	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"297.7769	303.7769	GRE	V	1	0.69566	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"305.8179	307.8179	OBJ	V	1	0.68981	LC-HIT	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"311.8553	315.8553	GRE	V	1	0.69676	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"317.8975	323.8975	OBJ	NV	NR	NR	LC-HIT	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"325.9385	329.9385	OBJ	V	1	0.83965	LC-MISS	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"331.9787	333.9787	OBJ	V	1	0.89792	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"336.0164	338.0164	GRE	V	1	0.76469	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"340.0532	344.0532	OBJ	V	1	0.66128	LC-MISS	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"346.0939	348.0939	GRE	NV	1	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"350.1308	354.1308	OBJ	V	1	0.74368	HC-HIT	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"356.1702	358.1702	OBJ	V	1	0.76953	LC-MISS	0.96535	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-09_bold.nii.gz	"360.2076	366.2076	GRE	NV	1	0.77753	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-08_bold.nii.gz	"4.0002	6.0002	OBJ	V	1	0.89621	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-08_bold.nii.gz	"8.041	10.041	OBJ	V	1	0.74731	LC-HIT	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-08_bold.nii.gz	"12.0792	14.0792	GRE	V	1	0.85396	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-08_bold.nii.gz	"16.1162	20.1162	OBJ	NV	1	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-08_bold.nii.gz	"22.1557	24.1557	OBJ	V	1	0.62395	LC-HIT	0.99256	1	0.35839"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-08_bold.nii.gz	"26.1927	30.1927	OBJ	V	1	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-08_bold.nii.gz	"32.2326	36.2326	GRE	V	1	0.75289	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-08_bold.nii.gz	"38.2723	42.2723	OBJ	V	1	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-08_bold.nii.gz	"44.3124	46.3124	OBJ	V	1	0.69186	LC-MISS	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-08_bold.nii.gz	"50.3492	56.3492	OBJ	V	1	0.75894	HC-MISS	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-08_bold.nii.gz	"58.3936	62.3936	GRE	V	1	0.87944	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-08_bold.nii.gz	"64.4337	68.4337	OBJ	NV	1	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-08_bold.nii.gz	"70.4726	74.4726	OBJ	V	1	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-08_bold.nii.gz	"76.513	82.513	GRE	V	1	0.72778	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-08_bold.nii.gz	"84.5546	88.5546	OBJ	V	1	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-08_bold.nii.gz	"90.5941	96.5941	OBJ	V	1	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-08_bold.nii.gz	"100.6354	106.6354	GRE	V	1	0.78527	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-08_bold.nii.gz	"108.6792	110.6792	OBJ	V	1	0.67622	LC-HIT	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-08_bold.nii.gz	"112.7172	118.7172	OBJ	V	1	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-08_bold.nii.gz	"120.7586	124.7586	OBJ	V	1	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-08_bold.nii.gz	"126.7983	132.7983	OBJ	NV	1	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-08_bold.nii.gz	"136.8406	142.8406	OBJ	V	1	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-08_bold.nii.gz	"144.8844	150.8844	OBJ	NV	1	0.74693	LC-HIT	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-08_bold.nii.gz	"152.9259	156.9259	OBJ	V	1	0.66834	LC-MISS	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-08_bold.nii.gz	"160.9684	166.9684	GRE	V	1	0.85605	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-08_bold.nii.gz	"169.0096	175.0096	GRE	NV	1	0.80636	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-08_bold.nii.gz	"177.0507	179.0507	OBJ	V	1	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-08_bold.nii.gz	"181.0886	185.0886	OBJ	V	1	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-08_bold.nii.gz	"187.1287	189.1287	OBJ	NV	1	0.94773	LC-MISS	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-08_bold.nii.gz	"191.1654	195.1654	OBJ	V	NR	NR	LC-MISS	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-08_bold.nii.gz	"197.2048	199.2048	GRE	V	1	"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-08_bold.nii.gz	"201.2425	207.2425	OBJ	V	1	0.70785	UT	UT	UT	UT"
func/sub-03task-IncidentalencodingtaskusingPosnercueingparadigmwithobjectvgreeblejudgment_run-08_bold.nii.gz	"209.2841	211.2841	GRE	V	1	0.85556	UT	UT	UT	UT"
